Deutsch;Englisch;Daari;Ukrainisch;arabisch
Wir messen die Breite des Schrankes.;We measure the width of the closed.;عرض کابینت را اندازه می گیریم.;Вимірюємо ширину шафи.;نقيس عرض الخزانة.
Nachts machen wir das Licht an.;We turn on the light in the night.;شب ها چراغ ها را روشن می کنیم.;Вночі вмикаємо світло.;في الليل نشعل الأضواء.
Wenn es hell ist machen wir das Licht wieder aus.;When it is bright we turn off the lights.;وقتی روشن شد دوباره چراغ ها را خاموش می کنیم.;Коли світає, ми знову вимикаємо світло.;عندما يكون الضوء نطفئ الأضواء مرة أخرى.
Können sie mir bitte die Tür aufmachen.;Can you open the door for me please.;میشه لطفا درو برام باز کن;Чи можете ви відчинити мені двері?;هل يمكنك من فضلك أن تفتح الباب لي؟
Das Kind hat die Tür nicht zugemacht.;The child did not close the door.;بچه در را نبست.;Дитина не зачинила двері.;الطفل لم يغلق الباب.
Der Mann drückt gegen die Mauer aber nichts passiert.;The man pushes against the wall but nothing happens.;مرد به دیوار فشار می آورد اما هیچ اتفاقی نمی افتد.;Чоловік штовхається на стіну, але нічого не відбувається.;يدفع الرجل باتجاه الحائط لكن لم يحدث شيء.
Die Frau hält ihr Kind im Arm.;The woman holds her child in her arm.;زن فرزندش را در آغوش گرفته است.;Жінка тримає дитину на руках.;المرأة تحمل طفلها بين ذراعيها.
Wo hängt das Bild?;Where is the picture hanging?;عکس کجا آویزان است؟;Де висить картина?;أين الصورة معلقة؟
Klopfen sie mal gegen die Tür.;Just knock against the door.;فقط در را بزن;Просто стукай у двері.;فقط أطرق الباب.
Leg das Messer hier hin.;Put the knife down.;چاقو را اینجا بگذارید.;Поклади сюди ніж.;ضع السكين هنا.
Auf dem Tisch liegen einhundert Euro.;A hundred Euros lie on the table.;صد یورو روی میز است.;На столі сто євро.;هناك مائة يورو على الطاولة.
Das Kind kann sich ohne Hilfe die Zähne putzen.;The child can brush its teeth without help.;کودک می تواند بدون کمک مسواک بزند.;Дитина може чистити зуби без сторонньої допомоги.;يستطيع الطفل تنظيف أسنانه دون مساعدة.
Wir müssen das Auto reparieren.;We have to repair the car.;ما باید ماشین را تعمیر کنیم.;Ми повинні відремонтувати машину.;علينا إصلاح السيارة.
Den Tisch kannst du da vorne hinstellen.;You can put the table there.;می توانید میز را در جلو قرار دهید.;Ви можете поставити стіл попереду.;يمكنك وضع الطاولة هناك في الأمام.
Hilfst du mir den Tisch in die Ecke zu schieben?;Can you help me pushing the table into the corner.;آیا می توانید به من کمک کنید میز را به گوشه ای فشار دهم؟;Чи можете ви допомогти мені відсунути стіл у кут?;هل يمكنك مساعدتي في دفع الطاولة إلى الزاوية؟
Wir ziehen den Teppich ein bisschen nach links.;We pull the carpet a little bit to the left.;فرش را کمی به سمت چپ می کشیم.;Тягнемо килим трохи вліво.;نسحب السجادة قليلاً إلى اليسار.
Der Kellner hat seinen Geldbeutel verloren.;The waitor lost hist wallet.;گارسون کیف پولش را گم کرد.;Офіціант загубив гаманець.;فقد النادل محفظته.
Es fehlen noch zwei Stühle.;Two chairs are missing.;دو صندلی هنوز مفقود است.;Два стільці досі відсутні.;ولا يزال هناك كرسيان مفقودان.
Das Auto funktioniert nicht mehr.;The car doesnt work anymore.;ماشین دیگر کار نمی کند.;Машина більше не працює.;السيارة لم تعد تعمل.
Dir sind zwei Euro aus der Tasche gefallen.;Two euros were falling out of you bag.;دو یورو از جیبت افتاد.;З вашої кишені випало два євро.;سقط اثنان يورو من جيبك.
Wir müssen die Wäsche nach schwarzer und weißer Kleidung ordnen.;We have to divide the laundry by black and white clothes.;ما باید لباس‌ها را بر اساس لباس‌های سیاه و سفید مرتب کنیم.;Треба сортувати білизну за чорним і білим одягом.;علينا فرز الغسيل حسب الملابس السوداء والبيضاء.
Treppen steigen mag ich nicht.;I dont like to climb the stairs.;من از پله بالا رفتن خوشم نمیاد;Я не люблю підніматися сходами.;أنا لا أحب صعود السلالم.
Muss ich schon wieder abwaschen?;Do I have to do the dishes again?;آیا باید دوباره شستم؟;Мені знову вмиватися?;هل يجب علي الاغتسال مرة أخرى؟
Klingeln sie einfach an der Tür damit er ihnen aufmacht.;Just ring on the door so that he opens it for you.;فقط زنگ در را بزنید تا او در را برای شما باز کند.;Просто подзвоніть у двері, щоб він відчинив вам.;فقط قم بدق جرس الباب لتجعله يفتح لك.
Wir vermieten diese Wohnung nicht.;We dont rent this flat.;ما این آپارتمان را اجاره نمی کنیم.;Ми не здаємо цю квартиру.;نحن لا نستأجر هذه الشقة.
Er bringt jeden Morgen den Müll weg.;He brings away the thrash every morning.;او هر روز صبح زباله ها را بیرون می آورد.;Він щоранку виносить сміття.;يقوم بإخراج القمامة كل صباح.
ich möchte das Sofa gerne verschieben.;I would like to move the couch.;من می خواهم مبل را جابجا کنم.;Я хотів би пересунути диван.;أرغب في تحريك الأريكة.
Kann man die Toilette abschließen?;Is it possible to close the toilet.;آیا می توانید توالت را قفل کنید؟;Ви можете замкнути туалет?;هل يمكنك قفل المرحاض؟
Der Stuhl ist kaputt bitte benutzen sie einen anderen.;The chair is broken please use another one.;صندلی شکسته است لطفا از صندلی دیگری استفاده کنید.;Стілець зламався, скористайтеся іншим.;الكرسي مكسور يرجى استخدام كرسي آخر.
Jetzt müssen wir den Teppich reinigen.;We have to clean the carpet now.;حالا باید فرش را تمیز کنیم.;Тепер ми повинні почистити килим.;الآن علينا تنظيف السجادة.
Wir mieten diese Wohnung.;We rent this flat.;ما این آپارتمان را اجاره می کنیم.;Здаємо цю квартиру.;نحن نستأجر هذه الشقة.
Kann dein Mann bitte das Toilettenpapier wechseln;Can your husband change the toilet paper please.;میشه لطفا شوهرت دستمال توالت رو عوض کنه;Чи може ваш чоловік змінити туалетний папір?;هل يمكن لزوجك أن يغير ورق التواليت؟
Duschen ist besser als baden weil man Wasser spart.;Showering is better that to bathe because you save water.;دوش گرفتن بهتر از حمام کردن است زیرا در مصرف آب صرفه جویی می کنید.;Приймати душ краще, ніж купатися, тому що ви економите воду.;الاستحمام أفضل من الاستحمام لأنه يوفر الماء.
